Symbol,Liquidity
LUPIN,2447090919.375908
M&M,0.0
M&MFIN,0.0
MAHABANK,1338675002.9612885
MAHSCOOTER,91225033.6
MAHSEAMLES,81929547.88954102
MANAPPURAM,653053592.4
MANKIND,1198049921.1381638
MANYAVAR,82431085.03388672
MAPMYINDIA,65178301.76677734
MARICO,1778911104.6369143
MARUTI,5765064925.839999
MAXHEALTH,5036785646.568457
MAZDOCK,2758496966.120215
MCX,4133968665.12
MEDANTA,261641430.18244627
METROPOLIS,67633845.12312011
MFSL,1129075259.9485204
MGL,318987361.7407617
MINDACORP,199506463.68188477
MMTC,45948477.822935484
MOTHERSON,1865296518.5702784
MOTILALOFS,997265872.48
MPHASIS,5369492094.448945
MRF,839361846.6
MRPL,1913406824.808589
MSUMI,429615244.4332434
MUTHOOTFIN,1933787161.9131737
NAM-INDIA,0.0
NATCOPHARM,1948970911.512964
NATIONALUM,2256986706.61895
NAUKRI,1008896001.2854152
NAVA,131003176.09618409
NAVINFLUOR,808046388.78
NBCC,1887171110.5106523
NCC,490283689.2547217
NESTLEIND,964194709.9331787
NETWEB,5349898577.575195
NEULANDLAB,637669297.92
NEWGEN,370300690.83406734
NH,9300515538.894335
NHPC,678116297.0703473
NIACL,58681133.54768189
NIFTY 500,0.0
NIVABUPA,74376778.44656433
NLCINDIA,163071177.82039306
NMDC,1321079036.60489
NSLNISP,114527439.28631058
NTPC,2050925693.479136
NTPCGREEN,259629085.46999997
NUVAMA,602948546.4599999
NUVOCO,47728775.74401611
NYKAA,1933027600.233054
OBEROIRLTY,367390760.36050785
OFSS,811039762.3599999
OIL,756473545.2999512
OLAELEC,434690055.47549057
OLECTRA,330407227.7333789
ONESOURCE,469231736.4012305
ONGC,1763058491.8799999
PAGEIND,821308017.6
PATANJALI,612353215.231172
PAYTM,7847955289.6529045
PCBL,170817596.36887938
PERSISTENT,2734374247.68
PETRONET,599335355.4049207
PFC,1845602814.1052415
PFIZER,44536855.5
PGEL,2278315377.0
PGHH,55525760.0
PHOENIXLTD,503297025.17484367
PIDILITIND,1133305997.0255127
PIIND,793802423.1232519
PNB,1981455473.9621398
PNBHOUSING,840927454.2032226
POLICYBZR,3228229113.2645802
POLYCAB,1423250364.6000001
POLYMED,120872535.11422852
POONAWALLA,289529571.28313595
POWERGRID,3877549744.9528055
POWERINDIA,2210510522.12
PPLPHARMA,417114072.5019775
PRAJIND,314835009.25261843
PREMIERENE,909447163.7102197
PRESTIGE,913235334.98
PTCIL,150887336.64
PVRINOX,238020404.6982422
RADICO,5086615005.08541
RAILTEL,269201539.2
RAINBOW,328661450.375
RAMCOCEM,339680328.9
RBLBANK,1451068123.9178834
RCF,292005659.04779667
RECLTD,1559153021.6
REDINGTON,531531494.18740237
RELIANCE,15425757127.777336
RELINFRA,342701647.617251
RHIM,61438836.70623779
RITES,525315781.4655615
RKFORGE,194609330.72
RPOWER,1320844301.9679217
RRKABEL,140080825.96192384
RVNL,1546668058.5954568
SAGILITY,2990377116.4895096
SAIL,1566684208.6024933
SAILIFE,161992741.363667
SAMMAANCAP,7867362756.777933
SAPPHIRE,213700958.3509473
SARDAEN,194991498.0882666
SAREGAMA,183777007.16489503
SBFC,186151383.5072113
SBICARD,559478832.3220776
SBILIFE,1522102256.951704
SBIN,6663720616.449258
SCHAEFFLER,202406114.73158205
SCHNEIDER,111134085.04000002
SCI,995598963.156775
SHREECEM,536065354.8
SHRIRAMFIN,4073394900.7240505
SHYAMMETL,71683123.41227052
SIEMENS,2096866860.7378418
SIGNATURE,513397559.75251466
SJVN,148332912.63376465
SKFINDIA,296731211.1988769
SOBHA,159231954.18
SOLARINDS,1525683039.84
SONACOMS,1535792537.2858446
SONATSOFTW,284626438.36
SRF,1594644021.0200586
STARHEALTH,257056729.472124
SUMICHEM,93670011.29896973
SUNDARMFIN,218812988.21281248
SUNDRMFAST,382022148.04885983
SUNPHARMA,3086221719.264458
SUNTV,143408158.89075193
SUPREMEIND,988996711.6770996
SUZLON,2063995130.60548
SWANCORP,919910291.5436462
SWIGGY,1502739229.8770692
SYNGENE,283723812.24051756
SYRMA,1119892489.0
TARIL,1518644946.5088098
TATACHEM,214116320.946167
TATACOMM,500684536.7619726
TATACONSUM,2604183084.6317477
TATAELXSI,779074548.1199999
TATAINVEST,247633629.83817628
TATAPOWER,1707271201.860945
TATASTEEL,4347527443.8385315
TATATECH,314621657.72164303
TBOTEK,1141057377.6177979
TCS,9260671364.537695
TECHM,3978444572.3080955
TECHNOE,228189367.35999998
TEJASNET,199102784.0437219
THELEELA,111964947.17243652
THERMAX,365062635.3609375
TIINDIA,802714331.28
TIMKEN,137013831.0
TITAGARH,782797809.87
TITAN,3179361460.5
TMPV,6910135959.113831
TORNTPHARM,436777846.5926367
TORNTPOWER,398342317.780459
TRENT,2089822758.66
TRIDENT,114963397.78140473
TRITURBINE,602151962.3093653
TRIVENI,38434063.32718628
TTML,47673733.2530365
TVSMOTOR,2615758254.0413375
UBL,151428243.09436035
UCOBANK,380593051.93209046
ULTRACEMCO,2723711583.48
UNIONBANK,1200927348.39
UNITDSPR,826305391.3308594
UNOMINDA,678098321.4723194
UPL,1916304320.3371336
USHAMART,182034299.5482373
UTIAMC,216551402.95878908
VBL,1899851540.8622901
VEDL,3086317135.9755898
VENTIVE,27223556.437265623
VGUARD,71849896.5
VIJAYA,205485254.3240625
VMM,1799355117.5078247
VOLTAS,1349941443.250918
VTL,110298692.33448975
WAAREEENER,3389837314.883789
WELCORP,367566990.8626977
WELSPUNLIV,370479807.5270544
WHIRLPOOL,170878726.63565427
WIPRO,1798926237.2211437
WOCKPHARMA,291063655.6834814
YESBANK,1931897456.420583
ZEEL,381523413.0483911
ZENSARTECH,285470501.4146118
ZENTEC,872237862.7355225
ZFCVINDIA,192293844.95999998
ZYDUSLIFE,664434803.4417725
BANKNIFTY,0.0
FINNIFTY,0.0
MIDCPNIFTY,0.0
NIFTY,0.0
NIFTYNXT50,0.0
GROWW,46666999484.87824
PWL,29059822215.266037
TENNIND,20904521413.045288
EMMVEE,4771035659.788971
TMCV,3860256722.4
ASTEC,3666060661.6524906
AVANTIFEED,3241823370.122363
SOUTHBANK,3173747177.9187927
LGEINDIA,2690443608.88
PINELABS,2517648018.1694455
LENSKART,2266168006.9758105
GABRIEL,2162712490.076338
MCLOUD,2063532448.4883888
ARSSBL,1837428499.84218
RICOAUTO,1603939646.3423433
VIKRAN,1499247335.9954033
KTKBANK,1483853821.9278896
CUPID,1474512105.214429
PRICOLLTD,1308252963.605774
SEQUENT,1276526293.8197021
EPACKPEB,1239371796.0200002
AHLUCONT,1239006679.8424318
APEX,1129382355.6064818
PARAS,1109863280.9000392
INDIAGLYCO,1099568772.6361036
PIRAMALFIN,1025183194.5600001
TI,1010165181.0088624
BELRISE,981740310.7308594
CARTRADE,937323326.8000001
DCBBANK,918808207.8559827
MTARTECH,905617310.6120509
BLACKBUCK,893182661.5028174
ASHAPURMIN,850492607.8538526
